Legislate,,"1 police brutality and alternatives to policing
2 trials: sentencing, pre-trial detention, and false convictions
3 alternatives to imprisonment
4 prison conditions
5 parole, probation, and re-entry
6 juvenile system
7 racial equity
8 Crime and Recidivism",,,,,,,
Phase (1/2/3),Title,Key1,Key2,Key3,Initial Investment,Evidence,Background,Action,Source
1,Civilian-Led Crisis Response,1,,,$$,,"Police currently respond to many 9-1-1 calls that do not require the use of force, and yet often escalate and result in violence. For example, police are more likely to use lethal force when responding to an emergency involving a person in psychiatric distress. Alternatively, the CAHOOTS program in Eugene, Oregon, sends a medic and crisis worker for over 20% of emergency calls. According to crisis worker Ebony Morgan, the 30-year-old program has never caused serious injury or death and has saved the city money by replacing more expensive responses.",Create a civilian-led department to respond to subsets of emergency calls.,"https://defundthepolice.org/alternatives-to-police-services/, https://www.npr.org/2020/06/10/874339977/cahoots-how-social-workers-and-police-share-responsibilities-in-eugene-oregon, seattle"
1,Limiting Police Unions,1,,,$,,"Police unions negotiate for more than just pay - they have immense power to protect themselves from being prosecuted for misconduct and imposing delays and conditions in giving statements. Recent research has found that historically, after officers unionized, there was a substantial increase in killings of civilians without an increase in officer safety. Many proponents of police reform point to police unions as a major block to  implementing reforms and holding officers accountable. ",Limit police union bargaining to exclude legal protections in the case of misconduct.,"seattle, https://www.npr.org/2020/06/12/876293261/the-link-between-disproportionate-police-brutality-and-police-unions"
1,Responsive Staff Cuts,1,,,$,,"Police unions negotiate for more than just pay - they have immense power to protect themselves from being prosecuted for misconduct and imposing delays and conditions in giving statements. Recent research has found that historically, after officers unionized, there was a substantial increase in killings of civilians without an increase in officer safety. Many proponents of police reform point to police unions as a major block to  implementing reforms and holding officers accountable. ","When making staff cuts, require police departments to fire staff with the most complaints from the community.","seattle, https://www.npr.org/2020/06/12/876293261/the-link-between-disproportionate-police-brutality-and-police-unions "
1,Policing for Profit ,1,,,$$,,"Civil asset forfeiture grants law enforcement officers the authority to take possession of property simply because they suspect that the property was used to commit a crime. Cops are incentivized to seize property and prosecutors are incentivized to litigate to keep the property because 95 percent of the money they collect through forfeiture goes straight into their own budgets. The laws are proportedly meant to deprive crime operations of the resources to continue. However, an investigation in South Carolina revealed that police are mostly accruing millions a few hundred dollars at a time by seizing small amounts of money and property, often from poor people.",Require a criminal conviction prior to civil asset forfeiture.,https://www.aclu.org/blog/criminal-law-reform/reforming-police/policing-profit-alive-and-well-south-carolina
1,Policing for Profit ,1,,,$$,,"Civil asset forfeiture grants law enforcement officers the authority to take possession of property simply because they suspect that the property was used to commit a crime. Cops are incentivized to seize property and prosecutors are incentivized to litigate to keep the property because 95 percent of the money they collect through forfeiture goes straight into their own budgets. The laws are proportedly meant to deprive crime operations of the resources to continue. However, an investigation in South Carolina revealed that police are mostly accruing millions a few hundred dollars at a time by seizing small amounts of money and property, often from poor people.",Create a searchable statewide database with information on civil asset forfeiture cases.,https://www.aclu.org/blog/criminal-law-reform/reforming-police/policing-profit-alive-and-well-south-carolina
1,Capital Defense Counsel Funding,2,,,$$$,,"Whether a defendant will be sentenced to death typically depends on the quality of his or her legal team more than any other factor. Capital cases are especially complex, time-intensive, and financially draining, and the death penalty is mostly imposed on poor people who cannot afford to hire an effective lawyer, which means they often end up with an under-resourced, under-compensated public defender.",Provide adequate funding specifically for Capital Defense Council and fairly compensate public defenders (this means no capping fees).,https://eji.org/issues/death-penalty/
